EOMONTH,Customer Name,Product Level 1,Product Level 2,Product Level 3,Product Level 4,      Sum of Net Amount      ,Comment
31-01-26,NATIONAL PRINTING PRESS,TRADING,PRINTING PAPER,PRINTING PAPER B,,"2,697,559",
31-01-26,NATIONAL PRINTING PRESS,TRADING,PRINTING PAPER,PRINTING PAPER MANILA 160GSM 61*76CM,,"81,892",
31-01-26,NAXPAR ENTERPRISES LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SL,,"811,034",
31-01-26,NAXPAR ENTERPRISES LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SQ,,"92,690",
31-01-26,NAXPAR ENTERPRISES LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 48 PGS CB BANK GRAPH,,"143,379",
31-01-26,NAXPAR ENTERPRISES LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 64 PGS CB BANK SL,,"85,931",
31-01-26,NAXPAR ENTERPRISES LTD,EXERCISE BOOK,EXERCISE BOOKS - SWARA,SWARA EXERCISE BOOK -  A5 120 PGS CB NP SL,,"183,448",
31-01-26,NAXPAR ENTERPRISES LTD,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 120 PGS CB BP SL,,"231,724",
31-01-26,NAXPAR ENTERPRISES LTD,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 120 PGS CB BP SQ,,"139,034",
31-01-26,NDALEX DIGITAL TECHNOLOGY,TRADING,PAPER REELS,PAPER REELS,,"45,934",
31-01-26,NDALEX DIGITAL TECHNOLOGY,TRADING,PRINTING PAPER,PRINTING PAPER B,,"2,107,000",
31-01-26,Neema,OTHER,(blank),(blank),,"-5,000,000",
31-01-26,Neema,(blank),(blank),(blank),,"-363,154",
31-01-26,NEWKEN PRINTERS LIMITED,TRADING,MG COVER,MG COVER - BLUE,,"6,051",
31-01-26,NEWKEN PRINTERS LIMITED,TRADING,MG COVER,MG COVER - GREEN,,"6,051",
31-01-26,NEWKEN PRINTERS LIMITED,TRADING,MG COVER,MG COVER - PINK,,"3,026",
31-01-26,NGARIAMA PAPER & STATIONERS,TRADING,MG COVER,MG COVER - BLUE,,"53,754",
31-01-26,NGARIAMA PAPER & STATIONERS,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"85,518",
31-01-26,NISHA PRINTERS AND STATIONERS,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SL,,"941,379",
31-01-26,NISHA PRINTERS AND STATIONERS,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SQ,,"188,276",
31-01-26,NISHA PRINTERS AND STATIONERS,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SL,,"448,966",
31-01-26,NISHA PRINTERS AND STATIONERS,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SQ,,"100,414",
31-01-26,NISHA PRINTERS AND STATIONERS,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 96 PGS CB BANK SL,,"1,128,207",
31-01-26,NISHA PRINTERS AND STATIONERS,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 96 PGS CB BANK SQ,,"270,828",
31-01-26,NISHA PRINTERS AND STATIONERS,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 100 PGS CB BANK SL,,"718,345",
31-01-26,NISHA PRINTERS AND STATIONERS,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 100 PGS CB BANK SQ,,"815,379",
31-01-26,NISHA PRINTERS AND STATIONERS,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE RULLED PAPER A4 BANK,,"135,945",
31-01-26,Noa Investment,EXERCISE BOOK,(blank),(blank),,"60,250",
31-01-26,NOBLE AGENCIES,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"329,495",
31-01-26,ORGANICS CROPS CARE K LTD,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"72,414",
31-01-26,OUTBOUND INTERNATIONAL ENTERPRISES LTD,LABEL,KEBS,PRINTED KEBS LABEL-19*25MM - BIG,,"8,669",
31-01-26,PACIFIC STATIONERS K LIMITED,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 79*60MM,,"43,448",
31-01-26,PACIFIC STATIONERS K LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY - PURCHASE TRADING,PENHOLDER,,"62,759",
31-01-26,PACIFIC STATIONERS K LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A5 BANK,,"127,448",
31-01-26,PACIFIC STATIONERS K LIMITED,TRADING,MANILLA,MANILLA  A4 25'S,,"12,775",
31-01-26,PACKHARD LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,PHOTOCOPY PAPER A4,(blank),,"5,741",
31-01-26,PALCO ENTERPRISES,TRADING,SILVER LABEL,(blank),,"1,453",
31-01-26,PAPER CONVERTERS KENYA LIMITED,TRADING,ETR REEL,ETR PLAIN REEL,,"476,611",
31-01-26,PAPERLINE ENTERPRISES,TRADING,MG COVER,MG COVER - BLUE,,"10,621",
31-01-26,PAPERLINE ENTERPRISES,TRADING,MG COVER,MG COVER - GREEN,,"21,241",
31-01-26,PAPERLINE ENTERPRISES,TRADING,MG COVER,MG COVER - PINK,,"10,621",
31-01-26,PAPERLINE STATIONERY LTD,TRADING,MG COVER,MG COVER - BLUE,,"32,252",
31-01-26,PAPERLINE STATIONERY LTD,TRADING,MG COVER,MG COVER - GREEN,,"21,502",
31-01-26,PATKA GENERAL SUPPLIES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 120 PGS CB BP SL,,"47,578",
31-01-26,PATKA GENERAL SUPPLIES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 120 PGS CB BP SQ,,"9,684",
31-01-26,PATKA GENERAL SUPPLIES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 96 PGS CB BP GRAPH,,"8,573",
31-01-26,PATKA GENERAL SUPPLIES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 96 PGS CB BP PLAIN,,"7,345",
31-01-26,PATKA GENERAL SUPPLIES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 120 PGS CB BP SL,,"5,993",
31-01-26,PATKA GENERAL SUPPLIES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY - PURCHASE TRADING,MARK BOOK 2QUIRE BANK,,"8,187",
31-01-26,PATKA GENERAL SUPPLIES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 2Q BANK,,"7,368",
31-01-26,PATKA GENERAL SUPPLIES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 3Q BANK,,"6,140",
31-01-26,PATKA GENERAL SUPPLIES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 4Q BANK,,"6,520",
31-01-26,PATKA GENERAL SUPPLIES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE GRAPH PAPER A4 BANK,,"7,594",
31-01-26,PATKA GENERAL SUPPLIES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE RULLED PAPER A4 BANK,,"6,861",
31-01-26,PENSTAT AGENCY,TRADING,MG COVER,MG COVER - BLUE,,"2,150",
31-01-26,PENSTAT AGENCY,TRADING,MG COVER,MG COVER - GREEN,,"6,451",
31-01-26,PENTA CONVERTERS LTD,TRADING,PRINTING PAPER,PRINTING PAPER B,,"17,379",
31-01-26,PENTA CONVERTERS LTD,TRADING,PRINTING PAPER,PRINTING PAPER MANILA 300GSM 51*76CM,,"9,703",
31-01-26,PERUCE AGENCIES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 200 PGS CB BP SL,,"175,197",
31-01-26,PERUCE AGENCIES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 200 PGS CB BP SQ,,"34,086",
31-01-26,PERUCE AGENCIES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 96 PGS CB BP PLAIN,,"7,581",
31-01-26,PHACKSHEN ENTERPRISES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SL,,"101,181",
31-01-26,PHACKSHEN ENTERPRISES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SQ,,"4,599",
31-01-26,PHACKSHEN ENTERPRISES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SL,,"56,897",
31-01-26,PHACKSHEN ENTERPRISES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SQ,,"14,224",
31-01-26,PHACKSHEN ENTERPRISES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 120 PGS CB BANK SL,,"9,198",
31-01-26,PHACKSHEN ENTERPRISES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 120 PGS CB BANK SQ,,"4,599",
31-01-26,PHACKSHEN ENTERPRISES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 200 PGS CB BANK SL,,"18,966",
31-01-26,PHACKSHEN ENTERPRISES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 200 PGS CB BANK SQ,,"4,741",
31-01-26,POLYTHENE INDUSTRIES LIMITED,TRADING,PAPER REELS,PAPER REELS,,"5,348,622",
31-01-26,PRECIOUS  BROOKS ACADEMY,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 200 PGS CB BANK SL,,"17,505",
31-01-26,PRECIOUS  BROOKS ACADEMY,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 200 PGS CB BANK SQ,,"3,205",
31-01-26,PRECIOUS  BROOKS ACADEMY,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 120 PGS CB BP SL,,"22,698",
31-01-26,PRECIOUS  BROOKS ACADEMY,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 120 PGS CB BP SQ,,"23,032",
31-01-26,PRECIOUS  BROOKS ACADEMY,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 200 PGS CB BP SL,,"45,574",
31-01-26,PRECIOUS  BROOKS ACADEMY,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 200 PGS CB BP SQ,,"12,802",
31-01-26,PRECIOUS  BROOKS ACADEMY,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 96 PGS CB BP SL,,"10,052",
31-01-26,PRECIOUS  BROOKS ACADEMY,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 96 PGS CB BP SQ,,"14,746",
31-01-26,PRECIOUS  BROOKS ACADEMY,EXERCISE BOOK,(blank),(blank),,"120,501",
31-01-26,QUICKMATT SUPERMARKET LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SL,,"3,608",
31-01-26,QUICKMATT SUPERMARKET LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SL,,"-1,391",
31-01-26,QUICKMATT SUPERMARKET LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 1Q BANK,,-499,
31-01-26,QUICKMATT SUPERMARKET LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 2Q BANK,,-796,
31-01-26,QUICKMATT SUPERMARKET LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 3Q BANK,,"7,736",
31-01-26,QUICKMATT SUPERMARKET LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 4Q BANK,,0,
31-01-26,QUICKMATT SUPERMARKET LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 6Q BANK,,"10,131",
31-01-26,QUICKMATT SUPERMARKET LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A5 BANK,,"9,000",
31-01-26,QUICKMATT SUPERMARKET LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A6 BANK (NO.4),,312,
31-01-26,QUICKMATT SUPERMARKET LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A7 BANK (NO.0).,,"1,141",
31-01-26,QUICKMATT SUPERMARKET LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE LOOSE LEAF PAD BANK 50 SHEETS,,"1,526",
31-01-26,QUICKMATT SUPERMARKET LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE LOOSE LEAF PAD BANK 70 SHEETS,,0,
31-01-26,QUICKMATT SUPERMARKET LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE SHORT HAND A5 TOP BINDING,,"1,624",
31-01-26,QUICKMATT SUPERMARKET LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE SPIRAL NOTE BOOK TOP BINDING A6,,"3,203",
31-01-26,QUICKMATT SUPERMARKET LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE SPIRAL NOTE BOOK TOP BINDING NO.3,,"3,604",
31-01-26,QUICKMATT SUPERMARKET LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,SPIRAL NOTREBOOK A4 TOP BINDING,,-291,
31-01-26,QUICKMATT SUPERMARKET LTD,TRADING,PRINTING PAPER,PRINTING PAPER MANILA 160GSM 51*76CM,,"30,165",
31-01-26,Raheel,OTHER,(blank),(blank),,"3,000,000",
31-01-26,Raheel,(blank),(blank),(blank),,"59,880",
31-01-26,RAYS AFRICA SUPPLIERS,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 200 PGS CB BP SL,,"303,858",
31-01-26,RAYS AFRICA SUPPLIERS,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 200 PGS CB BP SQ,,"50,643",
31-01-26,Rescue Bookshop,EXERCISE BOOK,(blank),(blank),,"24,100",
31-01-26,ROK INDUSTRIES LIMITED,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"393,082",
31-01-26,ROTO MOULDERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,PHOTOCOPY PAPER A4,(blank),,"27,578",
31-01-26,ROYAL PAINT INDUSTRIES,LABEL,LABEL - PLAIN,PLAIN - THERMAL LABEL -  76*38MM - COPY,,"78,400",
31-01-26,SAI OFFICE SUPPLIES LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 96 PGS CB BP 1/2 SL,,"8,365",
31-01-26,SAI OFFICE SUPPLIES LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOKS A5 96 PAGES CB,,"8,365",
31-01-26,SAJ CERAMICS LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 14.5 X 11 - 2 PART,,"131,310",
31-01-26,SAJ CERAMICS LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 1 PART - COPY,,"222,069",
31-01-26,SAJ CERAMICS LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 2 PART,,"196,965",
31-01-26,SALMANJI BOOKS & STATIONERS,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 14.5 X 11 - 2 PART,,"33,919",
31-01-26,SALMANJI BOOKS & STATIONERS,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 2 PART,,"17,444",
31-01-26,SALMANJI BOOKS & STATIONERS,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,"8,140",
31-01-26,SAMREG AGENCIES LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE FLIPCHART A1 BP,,"34,888",
31-01-26,SCHOOL DEPOT,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 1 PART - COPY,,"14,483",
31-01-26,SCHOOL DEPOT,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 2 PART,,"62,566",
31-01-26,SCHOOL DEPOT,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,"16,800",
31-01-26,SFS INTEGRATED PRIMARY SCHOOL -KATANI,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 2 PART,,"17,379",
31-01-26,SFS INTEGRATED PRIMARY SCHOOL -KATANI,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY - PURCHASE TRADING,DUSTLESS CHALK,,"13,903",
31-01-26,SFS INTEGRATED PRIMARY SCHOOL -KATANI,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE SCHEME OF WORK 2Q BANK,,"8,110",
31-01-26,SHALINA HEALTHCARE K LIMITED,LABEL,KEBS,PRINTED KEBS LABEL-19*25MM - BIG,,"2,761",
31-01-26,SHAZAM LEISURE WEAR LTD,LABEL,KEBS,PRINTED KEBS LABEL-19*25MM - BIG,,"26,074",
31-01-26,SHEKHINA ENTERPRISES,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 2 PART,,"150,512",
31-01-26,SHRI KRISHANA OVERSEAS LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,PHOTOCOPY PAPER A4,(blank),,"6,335",
31-01-26,SIGNAL PUBLISHER LIMITED,TRADING,PAPER REELS,PAPER REELS,,"381,753",
31-01-26,simon,(blank),(blank),(blank),,"-212,623",
31-01-26,SINE AND SLINE PRINTERS,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"729,531",
31-01-26,SLE SOLUTIONS PUBLIC LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,"22,612",
31-01-26,SMIDMART PACKAGING LIMITED,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"20,694",
31-01-26,SOLOH WORLD WIDE INTEL-2013,TRADING,MG COVER,MG COVER - BLUE,,"87,090",
31-01-26,ST. FRANCIS DE SALES PRIMARY SCH. -BISSIL,COMPUTER PAPER AND PHOTOCOPY PAPER,PHOTOCOPY PAPER A4,(blank),,"3,138",
31-01-26,ST. FRANCIS DE SALES PRIMARY SCH. -BISSIL,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 96 PGS CB BANK PLAIN,,"10,910",
31-01-26,ST. FRANCIS DE SALES PRIMARY SCH. -BISSIL,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 96 PGS CB BANK SL,,"16,366",
31-01-26,ST. FRANCIS DE SALES PRIMARY SCH. -BISSIL,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 96 PGS CB BANK SQ,,"10,910",
31-01-26,ST. FRANCIS DE SALES PRIMARY SCH. -BISSIL,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 48 PGS CB BANK SL,,"5,648",
31-01-26,ST. FRANCIS DE SALES PRIMARY SCH. -BISSIL,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 48 PGS CB BANK SQ,,"5,648",
31-01-26,ST. FRANCIS DE SALES PRIMARY SCH. -BISSIL,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 48 PGS CB PLAIN,,"5,648",
31-01-26,ST. FRANCIS DE SALES PRIMARY SCH. -BISSIL,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE SCHEME OF WORK 2Q BANK,,"2,703",
31-01-26,STALLION MANUFACTURES LTD,LABEL,LABEL - PLAIN,PLAIN - THERMAL LABEL - OTHER,,"12,114",
31-01-26,STALLION MANUFACTURES LTD,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"237,956",
31-01-26,STATEPRINT LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 2 PART,,0,
31-01-26,STATEPRINT LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,0,
31-01-26,Sterk Agencies,EXERCISE BOOK,(blank),(blank),,"60,250",
31-01-26,STORESOME TRADING CO. LTD,LABEL,KEBS,PRINTED KEBS LABEL - 19*13MM - SMALL,,"22,176",
31-01-26,STORESOME TRADING CO. LTD,LABEL,KEBS,PRINTED KEBS LABEL-19*25MM - BIG,,"22,176",
31-01-26,STORESOME TRADING CO. LTD,LABEL,LABEL - PLAIN,PLAIN - THERMAL LABEL -  25*51MM,,"26,552",
31-01-26,STORESOME TRADING CO. LTD,LABEL,LABEL - PLAIN,PLAIN - THERMAL LABEL-16*38,,"26,552",
31-01-26,SUNDRI STATIONERS,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SL,,"93,651",
31-01-26,SUNDRI STATIONERS,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SQ,,"23,413",
31-01-26,TARGETER EDUCATIONAL PUBLISHER LTD,TRADING,PAPER REELS,PAPER REELS,,"2,260,317",
31-01-26,TARGETER EDUCATIONAL PUBLISHER LTD,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"1,716,244",
31-01-26,TEXT BOOK CENTER,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 57*40MM,,"35,973",
31-01-26,TEXT BOOK CENTER,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 57*47MM,,"28,666",
31-01-26,TEXT BOOK CENTER,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 79*60MM,,"43,617",
31-01-26,TEXT BOOK CENTER,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 79*80MM,,"82,374",
31-01-26,THE IMPALA BOOK AGENCIES LIMITED,TRADING,MG COVER,MG COVER - BLUE,,"52,028",
31-01-26,THE IMPALA BOOK AGENCIES LIMITED,TRADING,MG COVER,MG COVER - GREEN,,"52,028",
31-01-26,THERMOPAK LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 1 PART - COPY,,"17,387",
31-01-26,THERMOPAK LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 2 PART,,"37,744",
31-01-26,THERMOPAK LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY - PURCHASE TRADING,WHITE BOARD MARKER,,"2,724",
31-01-26,THERMOPAK LIMITED,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"16,562",
31-01-26,THERMOPAK LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"21,398",
31-01-26,THERMOPAK LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER NEWSPRINT,,"103,159",
31-01-26,TOYZOONA LIMITED,LABEL,KEBS,PRINTED KEBS LABEL-19*25MM - BIG,,"15,456",
31-01-26,TUOREN COMPANY LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,PHOTOCOPY PAPER A4,(blank),,"3,411",
31-01-26,TUOREN COMPANY LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY - PURCHASE TRADING,A4 ENVELOPE,,"1,949",
31-01-26,TUOREN COMPANY LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY - PURCHASE TRADING,A5 ENVELOPE,,"1,998",
31-01-26,TUOREN COMPANY LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE PETTY CASH A6 BANK WITH COVER,,798,
31-01-26,TWOGEEZ LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE RULLED PAPER A4 BANK,,"68,805",
31-01-26,TWOGEEZ LIMITED,TRADING,MG COVER,MG COVER - BLUE,,"10,751",
31-01-26,TWOGEEZ LIMITED,TRADING,MG COVER,MG COVER - GREEN,,"10,751",
31-01-26,UGAM ENTERPRISES LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SL,,"184,897",
31-01-26,UGAM ENTERPRISES LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SQ,,"46,345",
31-01-26,UGAM ENTERPRISES LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SQ,,"48,759",
